    MJD       Ra_deg  Dec_deg  Unc_deg  log10(Ereco)
57831.193273   76.90     7.60     0.35     3.35
57837.840173   77.06     4.39     0.92     2.66
57839.939116   76.03     6.19     0.67     2.97
57840.413450   76.60     8.19     0.62     3.06
57841.652838   76.15     3.18     0.55     3.46
57843.710999   78.04     6.28     0.57     3.14
57844.062478   78.60     7.32     0.94     2.87
57846.237632   77.34     6.17     0.62     3.14
57846.509590   76.20     4.44     0.67     2.98
57847.249346   75.72     4.25     0.57     3.15
57849.850649   77.49     8.09     1.52     2.87
57852.050696   78.24     3.83     0.55     2.94
57852.455072   78.65     5.96     0.96     2.89
57853.877066   76.64     5.38     0.66     3.34
57854.212329   74.65     6.53     1.08     2.97
57855.161282   79.17     4.80     0.51     3.01
57855.229251   75.93     5.75     1.29     2.77
57857.346695   76.64     2.88     0.49     3.03
57866.435501   76.21     7.56     1.06     3.65
57866.890326   75.33     6.27     0.67     3.23
57870.235068   79.09     6.98     1.44     2.84
57874.508439   75.94     4.04     0.26     3.45
57876.501721   79.16     6.22     1.20     2.91
57879.741382   77.01     4.60     0.69     2.92
57879.988687   78.00     3.61     0.80     2.97
57880.196669   75.39     5.67     1.22     3.20
57883.757977   77.58     3.14     0.52     2.89
57884.905179   78.17     6.62     0.32     2.67
57885.384273   75.12     6.10     0.35     2.91
57885.792191   76.91     3.34     0.93     2.79
57886.500326   77.55     7.34     1.15     2.91
57887.671731   77.30     7.82     0.41     3.03
57888.485028   77.93     8.13     0.38     3.14
57889.216387   78.30     6.41     0.84     3.05
57890.950480   75.44     4.64     1.70     2.60
57891.692793   75.22     7.69     0.71     2.82
57893.994518   77.13     4.59     0.87     3.07
57894.281083   77.31     7.78     0.92     2.87
57894.753587   78.71     3.98     0.70     2.92
57896.621193   76.70     8.45     0.30     3.07
57897.579462   74.58     4.94     0.48     3.16
57898.290364   77.48     7.06     0.40     3.04
57901.617237   78.27     4.72     0.63     2.98
57903.759999   77.12     7.56     0.78     3.12
57905.442232   75.82     3.74     0.73     2.83
57906.147488   77.59     8.41     2.45     2.75
57908.955562   79.31     5.18     0.90     2.96
57911.419520   77.10     8.43     1.91     2.90
