MJD	log10(E)	ang_err	RA	Dec
   55696      5.1      1.2    243.1    -51.3
   55696      5.3      1.3    353.3    -53.8
   55696      3.0      0.4    169.5     -7.3
   55696      5.6      3.8    118.2    -74.2
   55696      3.2      0.2    183.3    -17.1
   55696      4.9      0.3    268.5    -39.5
   55696      5.0      1.9     55.0    -32.8
   55696      4.9      0.9    160.8    -48.0
   55696      4.5      0.4    210.3    -28.6
   55696      5.3      0.8    111.7    -42.3
   55696      5.7      0.7    347.3    -52.5
   55696      4.1      1.8    136.1    -30.5
   55696      4.3      0.7    201.8    -25.7
   55696      5.1      1.2    264.3    -49.5
   55696      5.1      0.2    261.9    -50.1
   55696      4.6      0.7    183.0    -29.6
   55696      4.2      0.2    311.9    -36.2
   55696      4.3      0.6      1.1    -20.0
   55696      3.5      0.4    352.1    -13.2
   55696      5.2      0.8     39.6    -63.0
   55696      3.2      0.2    214.6    -22.0
   55696      3.1      0.2    132.8     -8.2
   55696      4.6      0.6    189.4    -50.0
   55696      4.8      0.3    201.5    -52.6
   55696      3.5      0.4    258.7    -46.9
   55696      5.3      0.3      0.8    -36.5
   55696      4.4      0.5     42.4    -32.2
   55696      4.7      0.5    309.2    -50.7
   55696      4.5      0.2    307.7    -23.5
   55696      4.8      0.3     83.4    -33.3
   55696      4.0      0.2     49.4    -33.3
   55696      4.1      0.3     64.0    -58.1
   55696      4.7      0.2    254.6    -31.4
   55696      5.4      0.3     38.1    -67.9
   55696      4.4      0.4    292.7    -23.4
   55696      3.4      0.4    337.7    -15.5
   55696      3.7      0.8    141.2    -10.1
   55696      3.8      3.6    341.8    -37.5
   55696      4.8      0.3    107.3    -37.0
   55696      3.8      0.2    357.4    -15.3
   55696      4.8      0.2    324.3    -56.8
   55696      3.6      2.4     47.4    -84.4
   55696      4.8      0.2      7.9    -65.3
   55696      4.5      0.2    206.6    -17.2
   55696      4.9      0.4    179.1    -58.2
   55696      3.8      0.5    114.9    -20.8
   55696      4.5      0.2     18.1    -37.6
